experiment,k,instance_id,run_id,instance_seed,run_seed,algorithm,variant,budget_ms,time_ms,F,D,tardiness,gap_to_best_pct
budget,16,10,2,21861494,20423552,LNS,full,300.000000,300.069400,3849.000000,676,3173,0.000000
budget,16,11,0,21861591,20421635,LocalSearch,full,300.000000,300.002000,3050.000000,580,2470,0.461133
budget,16,11,0,21861591,20421635,SA,full,300.000000,300.002200,3036.000000,560,2476,0.000000
budget,16,11,0,21861591,20421635,LNS,full,300.000000,300.029700,3036.000000,560,2476,0.000000
budget,16,11,1,21861591,20422644,LocalSearch,full,300.000000,300.001800,3036.000000,560,2476,0.000000
budget,16,11,1,21861591,20422644,SA,full,300.000000,300.002000,3036.000000,560,2476,0.000000
budget,16,11,1,21861591,20422644,LNS,full,300.000000,300.011100,3036.000000,560,2476,0.000000
budget,16,11,2,21861591,20423653,LocalSearch,full,300.000000,300.001400,3054.000000,586,2468,0.592885
budget,16,11,2,21861591,20423653,SA,full,300.000000,300.001400,3036.000000,560,2476,0.000000
budget,16,11,2,21861591,20423653,LNS,full,300.000000,300.034900,3036.000000,560,2476,0.000000
budget,16,12,0,21861688,20421736,LocalSearch,full,300.000000,300.001700,2942.000000,490,2452,1.658604
budget,16,12,0,21861688,20421736,SA,full,300.000000,300.009000,2894.000000,480,2414,0.000000
budget,16,12,0,21861688,20421736,LNS,full,300.000000,300.017000,2894.000000,480,2414,0.000000
budget,16,12,1,21861688,20422745,LocalSearch,full,300.000000,300.001500,2894.000000,480,2414,0.000000
budget,16,12,1,21861688,20422745,SA,full,300.000000,300.001900,2894.000000,480,2414,0.000000
budget,16,12,1,21861688,20422745,LNS,full,300.000000,300.042900,2894.000000,480,2414,0.000000
budget,16,12,2,21861688,20423754,LocalSearch,full,300.000000,300.001400,2894.000000,480,2414,0.000000
budget,16,12,2,21861688,20423754,SA,full,300.000000,300.002200,2894.000000,480,2414,0.000000
budget,16,12,2,21861688,20423754,LNS,full,300.000000,300.019600,2894.000000,480,2414,0.000000
budget,16,13,0,21861785,20421837,LocalSearch,full,300.000000,300.001300,3171.000000,552,2619,3.661327
budget,16,13,0,21861785,20421837,SA,full,300.000000,300.001700,3110.000000,548,2562,1.667212
budget,16,13,0,21861785,20421837,LNS,full,300.000000,300.037100,3059.000000,536,2523,0.000000
budget,16,13,1,21861785,20422846,LocalSearch,full,300.000000,300.001800,3171.000000,552,2619,3.661327
budget,16,13,1,21861785,20422846,SA,full,300.000000,300.001900,3059.000000,536,2523,0.000000
budget,16,13,1,21861785,20422846,LNS,full,300.000000,300.046500,3059.000000,536,2523,0.000000
budget,16,13,2,21861785,20423855,LocalSearch,full,300.000000,300.001600,3187.000000,552,2635,4.184374
budget,16,13,2,21861785,20423855,SA,full,300.000000,300.002100,3059.000000,536,2523,0.000000
budget,16,13,2,21861785,20423855,LNS,full,300.000000,300.039900,3059.000000,536,2523,0.000000
budget,16,14,0,21861882,20421938,LocalSearch,full,300.000000,300.010700,2964.000000,482,2482,0.202840
budget,16,14,0,21861882,20421938,SA,full,300.000000,300.001800,2958.000000,478,2480,0.000000
budget,16,14,0,21861882,20421938,LNS,full,300.000000,300.021100,2958.000000,478,2480,0.000000
budget,16,14,1,21861882,20422947,LocalSearch,full,300.000000,300.001500,3020.000000,486,2534,2.096011
budget,16,14,1,21861882,20422947,SA,full,300.000000,300.001400,2958.000000,478,2480,0.000000
budget,16,14,1,21861882,20422947,LNS,full,300.000000,300.005900,2964.000000,484,2480,0.202840
budget,16,14,2,21861882,20423956,LocalSearch,full,300.000000,300.001600,2964.000000,482,2482,0.202840
budget,16,14,2,21861882,20423956,SA,full,300.000000,300.002000,2958.000000,478,2480,0.000000
budget,16,14,2,21861882,20423956,LNS,full,300.000000,300.020700,2964.000000,484,2480,0.202840
budget,16,15,0,21861979,20422039,LocalSearch,full,300.000000,300.001300,2192.000000,442,1750,0.000000
budget,16,15,0,21861979,20422039,SA,full,300.000000,300.001800,2192.000000,442,1750,0.000000
