experiment,k,instance_id,run_id,instance_seed,run_seed,algorithm,variant,budget_ms,time_ms,F,D,tardiness,gap_to_best_pct
ablation,32,5,0,23461009,20581029,LNS,no_probability_acceptance,300.000000,300.765400,11437.000000,958,10479,2.170806
ablation,32,5,0,23461009,20581029,LNS,destroy_ratio_0.15,300.000000,301.660900,11194.000000,938,10256,0.000000
ablation,32,5,0,23461009,20581029,LNS,destroy_ratio_0.45,300.000000,301.594800,12388.000000,974,11414,10.666428
ablation,32,5,1,23461009,20582038,LNS,full,300.000000,301.033500,11632.000000,976,10656,5.238397
ablation,32,5,1,23461009,20582038,LNS,no_regret,300.000000,300.928000,11786.000000,996,10790,6.631684
ablation,32,5,1,23461009,20582038,LNS,no_adaptive_weight,300.000000,300.864300,11513.000000,962,10551,4.161766
ablation,32,5,1,23461009,20582038,LNS,no_local_search,300.000000,302.183600,13450.000000,1026,12424,21.686420
ablation,32,5,1,23461009,20582038,LNS,no_probability_acceptance,300.000000,300.812000,11613.000000,964,10649,5.066498
ablation,32,5,1,23461009,20582038,LNS,destroy_ratio_0.15,300.000000,300.233900,11053.000000,948,10105,0.000000
ablation,32,5,1,23461009,20582038,LNS,destroy_ratio_0.45,300.000000,300.959000,11869.000000,986,10883,7.382611
ablation,32,5,2,23461009,20583047,LNS,full,300.000000,300.828200,11474.000000,956,10518,2.483030
ablation,32,5,2,23461009,20583047,LNS,no_regret,300.000000,302.186300,11291.000000,962,10329,0.848517
ablation,32,5,2,23461009,20583047,LNS,no_adaptive_weight,300.000000,300.538000,11832.000000,978,10854,5.680600
ablation,32,5,2,23461009,20583047,LNS,no_local_search,300.000000,300.401600,12485.000000,1000,11485,11.513040
ablation,32,5,2,23461009,20583047,LNS,no_probability_acceptance,300.000000,300.659500,11788.000000,972,10816,5.287603
ablation,32,5,2,23461009,20583047,LNS,destroy_ratio_0.15,300.000000,300.134300,11196.000000,940,10256,0.000000
ablation,32,5,2,23461009,20583047,LNS,destroy_ratio_0.45,300.000000,300.251900,12378.000000,994,11384,10.557342
ablation,32,6,0,23461106,20581130,LNS,full,300.000000,301.668900,16050.000000,1280,14770,3.188890
ablation,32,6,0,23461106,20581130,LNS,no_regret,300.000000,300.124000,15554.000000,1268,14286,0.000000
ablation,32,6,0,23461106,20581130,LNS,no_adaptive_weight,300.000000,300.654200,15618.000000,1260,14358,0.411470
ablation,32,6,0,23461106,20581130,LNS,no_local_search,300.000000,300.092600,16456.000000,1304,15152,5.799151
